Film Title,Year,Genre,Poster URL
Star Trek: Space Seed,1966,Science Fiction,"https://m.media-amazon.com/images/M/MV5BZTBjNDRiYjQtMGY0Yi00YmY0LWExOTktMDAwNjQ4M2IzMGNlXkEyXkFqcGdeQXVyNjUxOTY5MjI@._V1_UX182_CR0,0,182,268_AL_.jpg"
Planet of the Apes,1968,Science Fiction,"https://m.media-amazon.com/images/M/MV5BMTg0NjUwMzg5NF5BMl5BanBnXkFtZTgwNDQ0NjcwMTE@._V1_UY209_CR0,0,140,209_AL_.jpg"
The Bed Sitting Room,1969,Drama,"https://m.media-amazon.com/images/M/MV5BZDRlYjE4OGItNzUzNy00MTUwLThkY2MtMTA4NGZjMTYxY2E5XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Star Trek: Assignment: Earth,1969,Science Fiction,"https://m.media-amazon.com/images/M/MV5BZTBjNDRiYjQtMGY0Yi00YmY0LWExOTktMDAwNjQ4M2IzMGNlXkEyXkFqcGdeQXVyNjUxOTY5MjI@._V1_UX182_CR0,0,182,268_AL_.jpg"
Beneath the Planet of the Apes,1970,Science Fiction,"https://m.media-amazon.com/images/M/MV5BMjljYjY0MDktZjdlNC00ZTAxLTkzM2ItM2JjZjQ3YzQ0NzJiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
Zardoz,1974,Science Fiction,"https://m.media-amazon.com/images/M/MV5BMDg5NTYzNzMtNzhmOS00NzEyLWJlMWMtMzUzNjdhYjY2NDI3XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY268_CR1,0,182,268_AL_.jpg"
A Boy and His Dog,1975,Science Fiction,https://images-na.ssl-images-amazon.com/images/I/51NxfTZeD7L.jpg
Logan's Run,1976,Science Fiction,https://m.media-amazon.com/images/M/MV5BMTEwNzUxMjMtOWIzOS00OTQ0LTk0MmQtMTIzYzJmNTVhYTI2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX178_AL_.jpg
Mad Max,1979,Science Fiction,"https://m.media-amazon.com/images/M/MV5BMTM4Mjg5ODEzMV5BMl5BanBnXkFtZTcwMDc3NDk0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Mad Max,1979,Science Fiction,"https://m.media-amazon.com/images/M/MV5BMTM4Mjg5ODEzMV5BMl5BanBnXkFtZTcwMDc3NDk0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Mad Max 2: The Road Warrior,1981,Science Fiction,"https://m.media-amazon.com/images/M/MV5BN2VlNjNhZWQtMTY2OC00Y2E1LWJkNGUtMDU4M2ViNzliMGYwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Escape from New York,1981,Action,"https://m.media-amazon.com/images/M/MV5BNTE1OWI1YzgtZjEyMy00MjQ4LWE0NWMtYTNhYjc0ZDQ3ZGRkXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_UX182_CR0,0,182,268_AL_.jpg"
The Atomic Café,1982,Absurd,"https://m.media-amazon.com/images/M/MV5BNzQxMWY5ZGMtNWUzMi00Y2Y0LTk1MjctMWNkOTZlZGY4YTJjXkEyXkFqcGdeQXVyMjI3NDAyNg@@._V1_SY264_CR0,0,178,264_AL_.jpg"
The Day After,1983,Drama,"https://m.media-amazon.com/images/M/MV5BMTA3MDEyYWYtMTZlOS00MzAwLTljMDUtZTAwNGFhNjE5ZmI5XkEyXkFqcGdeQXVyMTEwODg2MDY@._V1_UY268_CR4,0,182,268_AL_.jpg"
WarGames,1983,Thriller,"https://m.media-amazon.com/images/M/MV5BMTMyMTE3OTk3NF5BMl5BanBnXkFtZTcwOTkwNDc3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
The Dead Zone,1983,Science Fiction,https://m.media-amazon.com/images/M/MV5BMDk2ZGVkY2UtZGE0MS00NTY1LThiZjYtYjQxMTAwMjM5M2VlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX178_AL_.jpg
Testament,1983,Drama,"https://m.media-amazon.com/images/M/MV5BZmFiZDkyYWQtMGNkZi00YmZkLThjNzAtY2U1YTVmYmNlNThmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY264_CR0,0,178,264_AL_.jpg"
Threads,1984,Science Fiction,"https://m.media-amazon.com/images/M/MV5BZGExNmNkZWQtYTk3ZC00MWY4LWFlMDAtOGRkODVmYjY0YWFlXkEyXkFqcGdeQXVyNzgzODI1OTE@._V1_UY268_CR10,0,182,268_AL_.jpg"
Red Dawn,1984,Action,"https://m.media-amazon.com/images/M/MV5BNzgzNjcwMjI3MF5BMl5BanBnXkFtZTcwNDAxNTQyNA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Terminator,1984,Science Fiction,"https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg"
Mad Max Beyond Thunderdome,1985,Science Fiction,"https://m.media-amazon.com/images/M/MV5BMmI4YWEyNTItZTFiMS00YzY4LWE2ZjYtNGRlNmZhNjRmOWVkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
Invasion U.S.A.,1985,Action,https://m.media-amazon.com/images/M/MV5BNGZkMmYzMTAtNzllYy00NzU3LWJiNzktNzdjZGU3OWM3ZmU5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX178_AL_.jpg
The Sacrifice,1986,Drama,"https://m.media-amazon.com/images/M/MV5BZWIwYWVmYTctZjEzOC00OTA4LTk0MmYtNDE1MTNhMGQzYTUzXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_UY268_CR2,0,182,268_AL_.jpg"
When the Wind Blows,1986,Animated,https://m.media-amazon.com/images/M/MV5BYTFjYjUzYmYtYjIzOS00ZDhhLWEwN2QtZTJkNDIzZmFmYzdjL2ltYWdlXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_SX178_AL_.jpg
The Fourth Protocol,1987,Thriller,"https://m.media-amazon.com/images/M/MV5BMjBlNzMyYzItNjM1Yy00N2ExLTg5MjItYzZkMjE0ZDA4ZDI1XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Miracle Mile,1988,Thriller,https://m.media-amazon.com/images/M/MV5BMTQ4NDI0OTkyOV5BMl5BanBnXkFtZTcwNzIyODI1NA@@._V1_SX178_AL_.jpg
Akira,1988,Animated,"https://m.media-amazon.com/images/M/MV5BM2ZiZTk1ODgtMTZkNS00NTYxLWIxZTUtNWExZGYwZTRjODViXkEyXkFqcGdeQXVyMTE2MzA3MDM@._V1_UX182_CR0,0,182,268_AL_.jpg"
By Dawn's Early Light,1990,Thriller,"https://m.media-amazon.com/images/M/MV5BY2M4Y2UxYmItNzc0ZS00Y2NkLWIyMGMtZDc3NmU0NjZjMzhhL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UY268_CR1,0,182,268_AL_.jpg"
The Hunt for Red October,1990,Thriller,https://m.media-amazon.com/images/M/MV5BY2Y5NWVjMmQtMWRmOC00ZTg3LWI3YWQtZGI2MWUwNWQ4OWQ2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX178_AL_.jpg
Terminator 2: Judgement Day,1991,Science Fiction,"https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
Crimson Tide,1995,Thriller,"https://m.media-amazon.com/images/M/MV5BMmFkY2IxNTAtMWRiNS00MWU2LWI1NDYtY2YxYTQyYTk5OTBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg"
Escape from LA,1996,Action,"https://m.media-amazon.com/images/M/MV5BOWUzNTRmNTQtNWMwZS00MTg4LThhMDUtYmQ5OGQ5MmNmYzNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
Outer Limits: Bits of Love,1997,Science Fiction,"https://m.media-amazon.com/images/M/MV5BNzgxMzI2NzkwM15BMl5BanBnXkFtZTcwMjQ1Mjg4NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
Outer Limits: Final Appeal,2000,Science Fiction,"https://m.media-amazon.com/images/M/MV5BNzgxMzI2NzkwM15BMl5BanBnXkFtZTcwMjQ1Mjg4NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
The Sum of All Fears,2002,Action,"https://m.media-amazon.com/images/M/MV5BZmFiZDkyYWQtMGNkZi00YmZkLThjNzAtY2U1YTVmYmNlNThmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY264_CR0,0,178,264_AL_.jpg"
Terminator 3: Rise of the Machines,2003,Science Fiction,"https://m.media-amazon.com/images/M/MV5BMTk5NzM1ODgyN15BMl5BanBnXkFtZTcwMzA5MjAzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
The Road,2009,Science Fiction,"https://m.media-amazon.com/images/M/MV5BMTAwNzk4NTU3NDReQTJeQWpwZ15BbWU3MDg3OTEyODI@._V1_UY268_CR0,0,182,268_AL_.jpg"
Terminator: Salvation,2009,Science Fiction,"https://m.media-amazon.com/images/M/MV5BODE1MTM1MzA2NF5BMl5BanBnXkFtZTcwODQ5MTA2Mg@@._V1_UY268_CR8,0,182,268_AL_.jpg"
The Book of Eli,2010,Science Fiction,"https://m.media-amazon.com/images/M/MV5BNTE1OWI1YzgtZjEyMy00MjQ4LWE0NWMtYTNhYjc0ZDQ3ZGRkXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_UX182_CR0,0,182,268_AL_.jpg"
Chernobyl,2019,Thriller,"https://m.media-amazon.com/images/M/MV5BNTEyYmIzMDUtNWMwNC00Y2Q1LWIyZTgtMGY1YzUxOTAwYTAwXkEyXkFqcGdeQXVyMjIyMTc0ODQ@._V1_SY264_CR0,0,178,264_AL_.jpg"
Outer Limits: The Human Factor,1963,Science Fiction,"https://m.media-amazon.com/images/M/MV5BNzgxMzI2NzkwM15BMl5BanBnXkFtZTcwMjQ1Mjg4NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
